기간	자치구	동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상+
2021	성북구	정릉2동	남자	11,113	317	423.5	407.5	548	776	828	719	858	834	895	931.5	836.5	867	673.5	504	354.5	224.5	91	22	2.5	-
2021	성북구	정릉2동	여자	11,888.5	337	382	400.5	478.5	751.5	859	715	797.5	805.5	956	1,012.5	919	1,028	769	605	486	335	165	74	12	0.5
2021	성북구	정릉3동	계	15,021.5	281.5	301	386	546.5	1,622.5	1,494	1,035	814	812	1,014	1,204.5	1,088	1,231.5	974.5	760.5	671	472	213	82.5	16.5	1
2021	성북구	정릉3동	남자	7,451.5	146	151	208.5	280.5	819	910.5	610	437.5	414	487.5	589.5	531.5	549.5	438.5	343	259	185.5	67	21	2.5	-
2021	성북구	정릉3동	여자	7,570	135.5	150	177.5	266	803.5	583.5	425	376.5	398	526.5	615	556.5	682	536	417.5	412	286.5	146	61.5	14	1
2021	성북구	정릉4동	계	24,867	691	879.5	968.5	1,136	1,620.5	1,598.5	1,429	1,708	1,907.5	2,156.5	2,185	1,917.5	1,969.5	1,583	1,184	920	618.5	260.5	106	25	3
2021	성북구	정릉4동	남자	12,015.5	367	457.5	507	589	815	841	699.5	823.5	937.5	1,073.5	1,074	912	872	728.5	549	382	257.5	98	27.5	4	0.5
2021	성북구	정릉4동	여자	12,851.5	324	422	461.5	547	805.5	757.5	729.5	884.5	970	1,083	1,111	1,005.5	1,097.5	854.5	635	538	361	162.5	78.5	21	2.5
2021	성북구	길음1동	계	35,593	1,293.5	2,522.5	2,739	2,174.5	1,883	1,523.5	1,652.5	2,792	3,704	4,071.5	3,048.5	1,951.5	1,815.5	1,441	1,106	928.5	574	249.5	98	21.5	3
2021	성북구	길음1동	남자	16,921	666	1,300.5	1,357.5	1,035.5	917	713	749.5	1,250	1,684	2,026	1,603.5	968	798	660	450	412	233.5	76	17.5	3.5	-
2021	성북구	길음1동	여자	18,672	627.5	1,222	1,381.5	1,139	966	810.5	903	1,542	2,020	2,045.5	1,445	983.5	1,017.5	781	656	516.5	340.5	173.5	80.5	18	3
2021	성북구	길음2동	계	16,545	677	776	672.5	747	1,023	1,015.5	1,079	1,366.5	1,392	1,467.5	1,473	1,227.5	1,167	898.5	622.5	452	293	138	45	11.5	1
2021	성북구	길음2동	남자	7,959.5	348	411	344.5	404.5	476	481	513	673	665.5	700	722	604	563	413	276.5	194	111	47	10	2.5	-
2021	성북구	길음2동	여자	8,585.5	329	365	328	342.5	547	534.5	566	693.5	726.5	767.5	751	623.5	604	485.5	346	258	182	91	35	9	1
2021	성북구	월곡1동	계	26,320	792	1,208	1,304	1,272.5	1,434	1,553.5	1,561.5	1,949	2,122.5	2,358.5	2,269.5	1,890	1,997	1,559	1,147.5	963.5	596.5	249	74	18.5	-
2021	성북구	월곡1동	남자	12,721	405	606	637	609	674.5	749.5	772	954	1,029.5	1,216.5	1,150	927	953.5	745	492.5	441	258.5	77.5	20.5	2.5	-
2021	성북구	월곡1동	여자	13,599	387	602	667	663.5	759.5	804	789.5	995	1,093	1,142	1,119.5	963	1,043.5	814	655	522.5	338	171.5	53.5	16	-
2021	성북구	월곡2동	계	19,437.5	441	607	690	760.5	1,642	1,871.5	1,398	1,305	1,307.5	1,449.5	1,549.5	1,410.5	1,475	1,173.5	884.5	689.5	470	227.5	72.5	12.5	0.5
2021	성북구	월곡2동	남자	9,341.5	231	326.5	372.5	370.5	567.5	916.5	736	669.5	663	731.5	805.5	687.5	709.5	565.5	392	303.5	201.5	74.5	15.5	2	-
2021	성북구	월곡2동	여자	10,096	210	280.5	317.5	390	1,074.5	955	662	635.5	644.5	718	744	723	765.5	608	492.5	386	268.5	153	57	10.5	0.5
2021	성북구	장위1동	계	21,992.5	605	719.5	782.5	955	1,504	1,669.5	1,435	1,474.5	1,524	1,746	2,007	1,941	1,848.5	1,339	898	750.5	508	202	68	14	1.5
2021	성북구	장위1동	남자	10,751	307	346.5	409	488.5	752	863	777	770.5	784	832.5	959.5	947.5	876	632	389.5	330.5	194	75	16	1	-
2021	성북구	장위1동	여자	11,241.5	298	373	373.5	466.5	752	806.5	658	704	740	913.5	1,047.5	993.5	972.5	707	508.5	420	314	127	52	13	1.5
2021	성북구	장위2동	계	13,484.5	254.5	324.5	389	485	861.5	1,059	919.5	808.5	842	1,014.5	1,167.5	1,156	1,173.5	1,002	793.5	589.5	401	175.5	55.5	11	1.5
2021	성북구	장위2동	남자	6,655.5	138.5	151	194.5	248.5	409	545	482.5	427.5	474	519.5	589	592	554.5	465	353.5	265	171	59	15.5	1	-
2021	성북구	장위2동	여자	6,829	116	173.5	194.5	236.5	452.5	514	437	381	368	495	578.5	564	619	537	440	324.5	230	116.5	40	10	1.5
2021	성북구	장위3동	계	16,285	800.5	923	640	722.5	1,005.5	1,094.5	1,066	1,533.5	1,380	1,247.5	1,380	1,156	1,163.5	814.5	552	410.5	258.5	97.5	28.5	9.5	1.5
2021	성북구	장위3동	남자	8,032.5	415	467	322	370	497.5	522	502.5	757	727.5	610	688.5	594.5	563	387	264	198.5	105	35.5	5.5	0.5	-
2021	성북구	장위3동	여자	8,252.5	385.5	456	318	352.5	508	572.5	563.5	776.5	652.5	637.5	691.5	561.5	600.5	427.5	288	212	153.5	62	23	9	1.5
2021	성북구	성북동	계	16,311	332.5	418.5	515	633.5	1,205	1,552.5	1,311	1,154.5	1,133.5	1,319	1,458.5	1,201.5	1,152	850	666	597	451	237.5	90	29	3.5
2021	성북구	성북동	남자	7,618	173	188	274	331	556.5	708	630.5	551	542.5	628.5	692.5	562	545	392	278.5	246	187.5	98	27	5.5	1
2021	성북구	성북동	여자	8,693	159.5	230.5	241	302.5	648.5	844.5	680.5	603.5	591	690.5	766	639.5	607	458	387.5	351	263.5	139.5	63	23.5	2.5
